match_id;status;DURASI;hero_1;hero_2;hero_3;hero_4;hero_5;R1;R2;R3;R4;R5;L1;L2;L3;L4;L5;K;D;A;NET;GPM;XPM;DMG;HEAL;BLD;WARDS_KUNING;WARDS_BIRU;IH1_1;IH1_2;IH1_3;IH1_4;IH1_5;IH1_6;IH1_7;IH2_1;IH2_2;IH2_3;IH2_4;IH2_5;IH2_6;IH2_7;IH3_1;IH3_2;IH3_3;IH3_4;IH3_5;IH3_6;IH3_7;IH4_1;IH4_2;IH4_3;IH4_4;IH4_5;IH4_6;IH4_7;IH5_1;IH5_2;IH5_3;IH5_4;IH5_5;IH5_6;IH5_7
6806282981;W;00:47:54;128;52;97;114;19;Support;Core;Core;Core;Support;Roaming;Middle;Top;Bottom;Top;40;17;99;108300;2500;3500;129000;195;22700;22;37;229;185;116;218;29;30;336;116;96;121;220;119;273;300;102;596;1;36;235;63;675;225;117;116;208;160;252;571;214;1;102;100;36;37;311
6806282981;L;00:47:54;30;96;10;51;77;Support;Core;Core;Support;Core;Roaming;Bottom;Middle;Roaming;Top;17;40;42;76400;1900;2400;105100;3900;3400;23;42;102;29;244;267;218;215;990;1;29;102;226;125;90;571;63;116;160;108;598;152;311;214;102;244;40;108;36;949;225;116;216;29;112;635;364
6809556554;W;01:05:47;33;19;35;109;85;Core;Support;Core;Core;Support;Top;Top;Middle;Bottom;Bottom;37;38;96;139000;2600;3000;175500;15700;33200;30;55;908;1;235;48;116;110;0;48;1;36;102;100;37;301;603;249;116;135;141;263;677;1;225;160;147;96;116;366;29;0;226;102;36;37;829
6809556554;L;01:05:47;6;97;52;137;75;Core;Core;Core;Core;Support;Top;Bottom;Middle;Roaming;Bottom;38;38;93;143900;2800;3100;190300;92;15100;31;58;147;249;116;263;156;139;366;102;1;61;48;116;232;311;119;96;121;48;600;116;291;1;116;37;214;0;185;829;158;81;254;30;214;110;290
6807886186;L;00:24:10;41;25;77;58;9;Core;Core;Core;Support;Core;Bottom;Middle;Top;Bottom;Roaming;12;20;22;41000;1900;2100;31200;940;2600;11;19;75;63;36;21;65;166;306;116;36;149;65;88;48;1077;244;86;11;635;16;55;358;36;63;39;244;593;43;356;42;267;40;36;29;0;680
6807886186;W;00:24:10;5;33;52;19;80;Support;Core;Core;Support;Core;Top;Bottom;Top;Bottom;Middle;20;13;43;54300;2500;2600;45400;310;23200;10;20;102;29;43;254;88;244;356;1;29;0;0;16;908;947;48;116;77;1;77;121;349;180;42;188;1;244;36;680;0;16;16;29;16;16;1076
6808330940;W;00:29:56;5;81;76;29;19;Support;Core;Core;Core;Support;Bottom;Bottom;Middle;Top;Roaming;27;12;76;67200;2400;3100;71600;5800;11600;15;30;214;254;36;185;188;218;990;151;1;116;63;36;598;828;1;65;232;48;77;108;212;1;90;50;908;123;36;349;180;1;34;244;40;102;0
6808330940;L;00:29:56;30;136;10;65;69;Support;Support;Core;Core;Core;Bottom;Middle;Top;Middle;Bottom;12;28;22;50100;2000;2300;48500;377;754;13;25;218;180;237;188;36;1;358;50;188;218;36;21;39;212;75;147;108;596;63;36;573;48;232;116;36;41;244;361;116;65;1;50;232;244;331
6809483969;L;00:33:37;66;27;70;137;19;Support;Support;Core;Core;Core;Top;Bottom;Bottom;Top;Middle;16;26;32;56600;1900;2300;6400;7200;4400;15;26;0;79;269;81;43;44;676;218;38;1;36;0;214;675;26;1;174;116;63;36;828;123;116;273;50;73;244;349;152;1;252;116;50;0;949
6809483969;W;00:33:37;51;95;52;69;88;Support;Core;Core;Core;Support;Bottom;Top;Middle;Bottom;Top;25;16;52;74300;2500;3300;79900;402;10000;16;28;102;214;30;218;30;244;676;116;50;156;75;154;145;573;273;119;36;48;121;244;574;244;1;116;65;235;48;289;1;214;36;57;257;244;306
6807886590;W;00:29:35;53;120;43;137;50;Core;Core;Core;Support;Support;Bottom;Middle;Top;Top;Bottom;26;4;60;72300;2600;2900;72700;8200;17500;15;27;1466;156;63;116;112;65;309;36;174;29;59;1;143;946;1;100;116;36;9;50;306;178;40;116;36;9;214;949;244;269;43;29;39;232;680
6807886590;L;00:29:35;29;74;11;19;111;Core;Core;Core;Support;Support;Bottom;Middle;Top;Top;Bottom;4;27;12;45000;1700;1900;37100;3000;1100;15;21;1;908;11;15;50;73;990;36;65;102;48;116;60;680;63;149;11;36;116;263;288;29;11;0;36;0;244;290;180;43;0;36;37;0;0
6831574509;W;00:27:52;75;88;35;10;38;Support;Support;Core;Core;Core;Roaming;Middle;Bottom;Middle;Top;24;14;53;57700;2400;2900;75500;3500;28300;12;21;37;29;102;92;36;218;331;43;188;1;36;214;0;306;75;263;158;0;63;34;828;75;160;63;263;147;41;1076;635;244;1;21;11;29;1077
6831574509;L;00:27:52;31;33;137;100;54;Support;Core;Core;Support;Core;Jungle;Bottom;Middle;Bottom;Top;14;24;28;43900;1800;2100;39600;2100;2400;13;25;102;29;188;218;36;244;288;908;21;16;16;39;29;990;50;116;108;36;244;41;949;214;244;36;1;188;42;945;50;168;569;151;143;11;828
6806790160;L;00:44:14;46;52;129;86;66;Core;Core;Core;Support;Support;Bottom;Middle;Top;Top;Bottom;9;29;14;80700;2200;2500;60800;5900;4000;22;41;1;249;63;236;168;250;638;119;121;48;37;116;0;571;1;73;116;596;69;50;949;1;29;43;36;232;244;300;908;79;0;0;29;0;290
6806790160;W;00:44:14;97;120;43;54;9;Support;Core;Core;Core;Support;Top;Middle;Bottom;Top;Bottom;29;9;70;108500;2600;3400;86300;6100;28800;20;38;1;229;180;30;43;34;336;226;208;174;600;30;29;311;116;48;1;96;210;119;571;151;225;73;50;160;112;573;29;36;267;226;40;908;834
6808011785;L;00:28:57;120;27;136;94;23;Core;Support;Support;Core;Core;Top;Top;Bottom;Bottom;Middle;5;31;14;45300;1800;2000;47900;546;2100;15;28;180;174;210;11;36;569;946;180;36;265;43;1;244;990;50;86;216;36;43;244;356;236;147;63;160;36;2;212;50;41;116;73;73;162;680
6808011785;W;00:28:57;29;19;13;46;31;Core;Support;Core;Core;Support;Bottom;Bottom;Middle;Top;Top;31;6;74;68000;2600;3200;69900;0;19100;16;26;178;100;210;50;156;34;574;50;1;36;0;100;39;680;1;277;534;63;273;30;357;63;1;168;236;141;116;288;180;36;0;102;43;38;306
6806751717;L;00:44:18;85;22;63;26;18;Support;Core;Core;Support;Core;Top;Middle;Top;Bottom;Bottom;11;54;35;69600;1900;2400;89700;5600;1700;22;32;218;36;79;39;593;29;680;232;77;29;116;108;273;675;226;108;908;0;75;267;309;214;1;593;36;593;23;585;250;63;116;1;249;172;573
6806751717;W;00:44:18;58;10;78;120;75;Support;Core;Core;Core;Support;Top;Top;Bottom;Middle;Bottom;54;12;132;116000;2800;3700;147600;13900;30400;19;37;263;63;36;116;30;226;288;156;48;116;108;160;154;381;116;908;600;112;65;214;362;180;1;174;123;108;143;335;235;931;102;40;36;0;336
6809539681;L;00:41:17;33;120;104;50;89;Core;Core;Core;Support;Core;Bottom;Middle;Bottom;Top;Top;20;27;46;79800;2300;2700;105700;19100;6300;20;35;1;908;116;180;240;57;289;180;143;156;174;116;108;376;127;1;116;50;36;9;825;36;180;218;31;188;244;336;36;160;147;250;63;114;638
6809539681;W;00:41:17;64;113;80;78;19;Support;Core;Core;Core;Support;Roaming;Middle;Bottom;Top;Middle;27;20;68;94000;2600;3200;124800;5200;26800;20;37;231;593;43;0;36;0;336;1;65;1466;235;48;108;311;75;75;75;75;29;117;358;0;108;29;908;226;92;834;30;100;1;50;37;0;676
6815136578;W;00:24:09;9;93;100;92;19;Support;Core;Core;Core;Support;Bottom;Bottom;Middle;Top;Top;26;7;64;51400;2200;2700;58000;2900;15500;11;21;180;102;185;36;94;40;358;174;596;36;63;8;108;1077;50;1;41;36;596;116;577;908;86;9;90;36;29;680;50;1;34;244;23;40;840
6815136578;L;00:24:09;16;106;10;5;111;Core;Core;Core;Support;Support;Bottom;Middle;Top;Top;Roaming;7;26;20;34800;1600;1800;47900;2400;272;13;18;1;29;73;73;190;36;840;50;569;36;41;116;166;828;63;26;22;170;36;236;838;23;593;42;36;214;188;290;29;37;218;36;92;0;212
6807936112;W;00:33:52;88;33;17;3;41;Support;Core;Core;Support;Core;Roaming;Top;Middle;Bottom;Bottom;42;17;88;77100;2600;3400;103500;3600;21700;16;29;102;37;1;30;214;259;290;29;908;1;116;235;36;289;534;36;116;98;63;259;361;36;37;40;29;232;593;675;65;147;116;158;63;117;381
6807936112;L;00:33:52;85;6;120;136;60;Support;Core;Core;Support;Core;Bottom;Top;Middle;Roaming;Bottom;16;44;43;50300;1800;2300;48900;7200;1200;16;30;254;29;0;36;40;218;290;34;63;116;263;170;75;361;1;36;123;180;174;569;828;50;42;8;36;188;21;949;29;1;151;116;8;17;381
6810821982;W;00:43:40;14;25;136;86;85;Core;Core;Core;Support;Support;Bottom;Middle;Top;Bottom;Jungle;22;22;47;95300;2300;3000;88500;3200;19500;22;41;50;1;226;108;119;116;571;48;1;135;123;116;141;376;116;0;75;225;40;50;638;36;1;108;214;232;30;290;218;29;226;36;37;188;585
6810821982;L;00:43:40;57;65;11;75;19;Support;Core;Core;Core;Support;Roaming;Middle;Top;Bottom;Bottom;22;23;54;69200;1900;2500;86000;4500;1600;21;37;29;79;269;218;188;0;675;1;41;102;48;232;116;362;236;116;249;139;63;156;571;75;36;180;263;1;75;381;244;102;1;50;43;36;825
6807938213;L;00:45:11;80;129;11;128;57;Core;Core;Core;Support;Support;Top;Bottom;Middle;Bottom;Roaming;20;25;56;81300;2000;2500;101500;11900;18600;21;39;75;75;75;75;29;143;573;0;1;908;50;116;596;949;41;147;263;63;123;116;362;244;79;36;214;226;0;676;36;218;226;214;0;40;336
6807938213;W;00:45:11;75;65;10;61;88;Support;Core;Core;Core;Support;Top;Middle;Bottom;Top;Middle;25;20;77;95600;2400;3200;126800;11700;11200;21;37;180;263;43;36;75;0;306;1;0;110;235;48;116;300;147;141;116;139;117;108;837;75;36;231;112;33;908;335;36;100;1;43;0;214;585
6807768064;L;00:34:17;128;108;81;136;135;Core;Core;Core;Support;Support;Bottom;Middle;Top;Top;Bottom;25;30;31;62700;2200;2500;66200;5200;8100;16;24;63;1;108;36;232;73;675;41;63;206;116;112;36;361;151;116;63;598;24;114;574;50;218;8;36;244;21;1076;29;244;108;0;269;38;676
6809701946;W;00:23:56;88;55;19;5;46;Support;Core;Core;Support;Core;Roaming;Top;Middle;Bottom;Bottom;33;11;86;48000;2300;3100;73200;1700;8800;11;22;36;43;1;214;43;593;990;180;242;1;16;81;34;306;244;1;50;116;36;252;828;102;214;36;43;185;0;349;1;117;168;263;63;36;1077
6809612544;W;00:36:09;109;137;61;18;27;Core;Core;Core;Support;Support;Bottom;Middle;Top;Bottom;Top;31;13;64;83700;2500;2900;69500;6600;24200;18;28;141;63;263;170;116;160;376;1;50;41;116;30;96;573;36;908;180;116;112;108;834;36;214;1;42;0;102;289;1;244;0;116;180;188;990
6808292501;L;00:49:43;3;6;25;136;28;Support;Core;Core;Support;Core;Bottom;Bottom;Middle;Top;Top;23;45;45;103400;2500;2900;100500;9400;6400;23;24;102;29;36;218;232;0;675;160;63;116;263;147;158;362;596;156;110;48;116;249;376;50;116;0;0;36;0;585;63;1;172;116;247;112;638
6809547720;L;00:32:56;114;65;33;5;100;Core;Core;Core;Support;Support;Top;Middle;Bottom;Top;Jungle;21;37;55;56800;2000;2400;87300;3000;3900;16;25;36;63;108;158;26;116;309;48;1;232;41;116;36;574;34;180;0;1;21;908;990;0;36;216;931;188;216;675;29;1;218;36;0;593;306
6818704228;W;00:33:08;5;61;52;100;4;Support;Core;Core;Support;Core;Bottom;Top;Middle;Roaming;Bottom;38;16;92;84800;2700;3600;100000;2900;28000;16;27;102;180;30;185;0;254;306;90;29;75;232;108;908;289;48;116;9;1;121;96;675;214;36;40;1;75;244;834;50;116;160;143;158;11;376
6810906509;W;00:38:55;30;136;52;33;99;Support;Support;Core;Core;Core;Roaming;Top;Middle;Top;Bottom;38;15;67;85500;2500;3200;90300;5300;26900;19;34;36;43;908;214;0;593;306;116;50;143;40;36;181;574;119;121;1;48;273;116;571;1;116;30;180;123;267;675;116;125;112;156;63;108;381
6809417360;W;00:39:09;14;46;137;18;128;Core;Core;Core;Support;Support;Bottom;Middle;Top;Bottom;Top;35;17;94;86200;2400;3200;101800;4500;22700;18;37;50;125;1;178;116;108;376;1;141;168;263;116;117;361;110;1;50;116;119;36;311;36;29;42;244;908;102;573;231;102;36;37;0;0;675
6810863490;W;00:40:09;87;100;4;52;23;Support;Support;Core;Core;Core;Top;Roaming;Bottom;Top;Middle;36;19;82;91200;2500;3300;100700;0;21100;17;34;108;180;43;593;36;0;290;50;102;1;36;0;100;335;143;116;158;123;50;75;376;96;116;1;121;30;48;362;210;250;116;112;50;73;361
6809742301;L;00:40:05;65;19;13;54;85;Core;Support;Core;Core;Support;Top;Top;Middle;Bottom;Bottom;17;40;35;64700;2000;2300;80100;2000;1700;20;40;116;1;102;48;244;36;675;50;1;36;102;0;37;834;1;36;116;63;273;534;289;151;123;149;50;168;55;573;180;36;0;102;218;244;290
6810944275;L;00:58:12;73;11;20;88;64;Core;Core;Core;Support;support;Bottom;Middle;Top;Bottom;Middle;28;57;64;109800;2500;3200;155400;0;9400;27;45;600;249;145;116;112;225;335;604;116;110;256;96;63;676;63;102;75;108;0;235;990;1;0;100;36;214;256;571;29;36;610;232;0;102;675
